SID:090,5,MOGT1R,RW26,WI802,LO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:100,5,MOGT1R,RW26,MOGTI,LO,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MOGT1X,RW26,WI501,LO,P,C,E   , ,302,CF, ,SBG,LO,D, ,      ,2323,0798,2580,0030,+,03190,     ,10000, ,   ,    ,   ,MOGTI,LO,E,A, , , , ;
SID:020,5,MOGT1X,RW26,WI502,LO,P,C,E   , ,302,TF, , , , , ,      ,    ,    ,    ,    ,+,07100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,MOGT1X,RW26,WI802,LO,P,C,E   , ,302,TF, , , , , ,      ,    ,    ,    ,    ,+,10520,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,MOGT1X,RW26,MOGTI,LO,E,A,EE  , ,302,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MOGT3H,RW26,WI505,LO,P,C,E   , ,   ,CF, ,SBG,LO,D, ,      ,2323,0798,2580,0030,+,04000,     ,10000,-,210,    ,   ,MOGTI,LO,E,A, , , , ;
SID:020,5,MOGT3H,RW26,WI506,LO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07850,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,MOGT3H,RW26,WI507,LO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08400,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,5,MOGT3H,RW26,WI802,LO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11350,     ,     , ,   ,    ,   , , , , , , , , ;
SID:100,5,MOGT3H,RW26,MOGTI,LO,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,OBED3J,RW08,D245H,LO,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,RTT,LO,D,B, , , , ;
SID:020,2,OBED3J,RW08,RUM,LO,P,N,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,OBED3J,RW08,OEJ,LO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,OBED3J,RW08,D063G,LO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,OBED3J,RW08,D063G,LO,P,C,E   , ,   ,FA, ,SBG,LO,D, ,      ,2264,0600,0630,    ,+,09500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,OBED3J,RW08,D136A,LO,P,C,EY  , ,   ,CF, ,SBG,LO,D, ,      ,2234,0517,0630,0030, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,OBED3J,RW08,RTT,LO,D,B,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,2,OBED3J,RW08,RTT,LO,D,B,E  H,R,   ,HA, , , , , ,      ,    ,    ,2250,T010,+,09500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,2,OBED3J,RW08,OBEDI,LO,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,RTT1R,RW26,WI528,LO,P,C,EY  , ,   ,CF, ,SBG,LO,D, ,      ,2315,0778,2580,0010, ,     ,     ,10000,-,160,    ,   ,RTT,LO,D,B, , , , ;
SID:020,5,RTT1R,RW26,WI529,LO,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     ,-,160,    ,   , , , , , , , , ;
SID:030,5,RTT1R,RW26,WI531,LO,P,C,E   ,L,   ,CF,Y,SBG,LO,D, ,      ,2305,0766,0690,0050, ,     ,     ,     ,-,160,    ,   , , , , , , , , ;
SID:040,5,RTT1R,RW26,WI521,LO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,RTT1R,RW26,RTT,LO,D,B,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,RTT2Q,RW08,WI520,LO,P,C,E   , ,   ,CF, ,SBG,LO,D, ,      ,2299,0734,0750,0040, ,     ,     ,10000,-,180,    ,   ,RTT,LO,D,B, , , , ;
SID:020,5,RTT2Q,RW08,WI521,LO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,180,    ,   , , , , , , , , ;
SID:030,5,RTT2Q,RW08,WI522,LO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,RTT2Q,RW08,RTT,LO,D,B,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,RTT3J,RW08,D245H,LO,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,RTT,LO,D,B, , , , ;
SID:020,2,RTT3J,RW08,RUM,LO,P,N,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,RTT3J,RW08,OEJ,LO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04800,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,RTT3J,RW08,D063G,LO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,RTT3J,RW08,D063G,LO,P,C,E   , ,   ,FA, ,SBG,LO,D, ,      ,2264,0600,0630,    ,+,09500,     ,     , ,   ,    ,   , , , , , , , , ;
