SID:010,4,BANGR9,RW34R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3440,    ,+,00932,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BANGR9,RW34R,DODVE,K1,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BANGR9,RW34R,WUREL,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,BANGR9,RW34R,ATOME,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,BANGR9,RW34R,BREMM,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,BANGR9,RW34R,BANGR,K1,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,BANGR9,ARRIE,BANGR,K1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,BANGR9,ARRIE,ARRIE,K1,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,BANGR9,PANGL,BANGR,K1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,BANGR9,PANGL,PANGL,K1,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,ELMAA4,RW16C, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1640,    ,+,00840,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,ELMAA4,RW16C,PEAKK,K1,E,A,EY  , ,   ,CF, ,SEA,K1,D, ,      ,1610,0050,1610,0060,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ELMAA4,RW16C, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2510,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,ELMAA4,RW16C,ELMAA,K1,E,A,EE  , ,   ,CF, ,HQM,K1,D, ,      ,0491,0327,2300,0230, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,ELMAA4,RW16L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1640,    ,+,00840,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,ELMAA4,RW16L,PEAKK,K1,E,A,EY  , ,   ,CF, ,SEA,K1,D, ,      ,1610,0050,1650,0060,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ELMAA4,RW16L, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2510,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,ELMAA4,RW16L,ELMAA,K1,E,A,EE  , ,   ,CF, ,HQM,K1,D, ,      ,0491,0327,2300,0230, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,ELMAA4,RW16R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1640,    ,+,00840,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,ELMAA4,RW16R,PEAKK,K1,E,A,EY  , ,   ,CF, ,SEA,K1,D, ,      ,1610,0050,1610,0060,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,ELMAA4,RW16R, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2510,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,ELMAA4,RW16R,ELMAA,K1,E,A,EE  , ,   ,CF, ,HQM,K1,D, ,      ,0491,0327,2300,0230, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,ELMAA4,CVO,ELMAA,K1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,3,ELMAA4,CVO,CVO,K1,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,3,ELMAA4,HQM,ELMAA,K1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,3,ELMAA4,HQM,HQM,K1,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,HAROB6,RW16C, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1640,    ,+,00932,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,HAROB6,RW16C,OTLIE,K1,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,HAROB6,RW16C,RENBE,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,HAROB6,RW16C,RICHR,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,HAROB6,RW16C,EMRLD,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,HAROB6,RW16C,HAROB,K1,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,HAROB6,RW16L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1640,    ,+,00932,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,HAROB6,RW16L,CAVOB,K1,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
